Subfamily	Genus	Species	Subspecies	Author Date
Amblyoponinae	Fulakora	orizabana		(Brown, 1960)
Amblyoponinae	Stigmatomma	pallipes		(Haldeman, 1844)
Dolichoderinae	Dorymyrmex	az02		null
Dolichoderinae	Dorymyrmex	az03		null
Dolichoderinae	Dorymyrmex	az05		null
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	bossutus		(Trager, 1988)
Dolichoderinae	Dorymyrmex	flavus		McCook, 1880
Dolichoderinae	Dorymyrmex	insanus		(Buckley, 1866)
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Dorymyrmex	wheeleri		(Kusnezov, 1952)
Dolichoderinae	Forelius	az01		null
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Linepithema	humile		(Mayr, 1868)
Dolichoderinae	Liometopum	apiculatum		Mayr, 1870
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Acanthostichus	arizonensis		MacKay, 1996
Dorylinae	Acanthostichus	davisi		(Smith, 1942)
Dorylinae	Acanthostichus	punctiscapus		MacKay, 1996
Dorylinae	Neivamyrmex	agilis		Borgmeier, 1953
Dorylinae	Neivamyrmex	andrei		(Emery, 1901)
Dorylinae	Neivamyrmex	fuscipennis		(Smith, 1942)
Dorylinae	Neivamyrmex	harrisii		(Haldeman, 1852)
Dorylinae	Neivamyrmex	kiowapache		Snelling & Snelling, 2007
Dorylinae	Neivamyrmex	mandibularis		(Smith, 1942)
Dorylinae	Neivamyrmex	melanocephalus		(Emery, 1895)
Dorylinae	Neivamyrmex	microps		Borgmeier, 1955
Dorylinae	Neivamyrmex	minor		(Cresson, 1872)
Dorylinae	Neivamyrmex	ndeh		Snelling & Snelling, 2007
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Dorylinae	Neivamyrmex	nyensis		Watkins, 1977
Dorylinae	Neivamyrmex	opacithorax		(Emery, 1894)
Dorylinae	Neivamyrmex	rugulosus		Borgmeier, 1953
Dorylinae	Neivamyrmex	swainsonii		(Shuckard, 1840)
Dorylinae	Neivamyrmex	texanus		Watkins, 1972
Dorylinae	Syscia	augustae		(Wheeler, 1902)
Dorylinae	Syscia	madrensis		Longino & Branstetter, 2021
Dorylinae	Syscia	quisquilis		Longino & Branstetter, 2021
Ectatomminae	Typhlomyrmex	az01		null
Formicinae	Acropyga	epedana		Snelling, 1973
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Brachymyrmex	patagonicus		Mayr, 1868
Formicinae	Camponotus	acutirostris		Wheeler, 1910
Formicinae	Camponotus	essigi		Smith, 1923
Formicinae	Camponotus	festinatus		(Buckley, 1866)
Formicinae	Camponotus	fragilis		Pergande, 1893
Formicinae	Camponotus	herculeanus		(Linnaeus, 1758)
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	laevissimus		Mackay, 2019
Formicinae	Camponotus	maccooki		Forel, 1879
Formicinae	Camponotus	microps		Snelling, 2006
Formicinae	Camponotus	mina		Forel, 1879
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	ocreatus		Emery, 1893
Formicinae	Camponotus	pennsylvanicus		(De Geer, 1773)
Formicinae	Camponotus	pudorosus		Emery, 1925
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	sayi		Emery, 1893
Formicinae	Camponotus	schaefferi		Wheeler, 1909
Formicinae	Camponotus	semitestaceus		Snelling, 1970
Formicinae	Camponotus	trepidulus		Creighton, 1965
Formicinae	Camponotus	ulcerosus		Wheeler, 1910
Formicinae	Camponotus	vafer		Wheeler, 1910
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Colobopsis	papago		(Creighton, 1953)
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	az01		null
Formicinae	Formica	az02		null
Formicinae	Formica	az03		null
Formicinae	Formica	az04		null
Formicinae	Formica	browni		Francoeur, 1973
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	foreliana		Wheeler, 1913
Formicinae	Formica	fusca		Linnaeus, 1758
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	hewitti		Wheeler, 1917
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	moki		Wheeler, 1906
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	occulta		Francoeur, 1973
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Formica	propinqua		Creighton, 1940
Formicinae	Formica	puberula		Emery, 1893
Formicinae	Formica	subaenescens		Emery, 1893
Formicinae	Formica	wheeleri		Creighton, 1935
Formicinae	Lasius	alienus		(Foerster, 1850)
Formicinae	Lasius	americanus		Emery, 1893
Formicinae	Lasius	arizonicus		Wheeler, 1917
Formicinae	Lasius	az01		null
Formicinae	Lasius	brevicornis		Emery, 1893
Formicinae	Lasius	colei		(Wing, 1968)
Formicinae	Lasius	fallax		Wilson, 1955
Formicinae	Lasius	flavus		(Fabricius, 1782)
Formicinae	Lasius	humilis		Wheeler, 1917
Formicinae	Lasius	interjectus		Mayr, 1866
Formicinae	Lasius	latipes		(Walsh, 1863)
