Subfamily,Genus,Species,Subspecies,Author_Date,Arizona,California,BajaCalifornia,Colorado,NewMexico,Nevada,Sonora,Utah,GenSp,GenSpSp,TaxonomicLevelCode
Amblyoponinae,Fulakora,orizabana,NA,"(Brown, 1960)",1,0,0,0,0,0,0,0,Fulakora orizabana,NA,60
Amblyoponinae,Stigmatomma,pallipes,NA,"(Haldeman, 1844)",1,1,0,1,0,1,0,0,Stigmatomma pallipes,NA,60
Dolichoderinae,Dorymyrmex,az02,NA,null,1,0,0,0,0,0,0,0,Dorymyrmex az02,NA,60
Dolichoderinae,Dorymyrmex,az03,NA,null,1,0,0,0,0,0,0,0,Dorymyrmex az03,NA,60
Dolichoderinae,Dorymyrmex,az05,NA,null,1,0,0,0,0,0,0,0,Dorymyrmex az05,NA,60
Dolichoderinae,Dorymyrmex,bicolor,NA,"Wheeler, 1906",1,1,0,0,1,1,1,1,Dorymyrmex bicolor,NA,60
Dolichoderinae,Dorymyrmex,bossutus,NA,"(Trager, 1988)",1,0,0,0,0,0,0,0,Dorymyrmex bossutus,NA,60
Dolichoderinae,Dorymyrmex,flavus,NA,"McCook, 1880",1,1,0,1,0,0,0,0,Dorymyrmex flavus,NA,60
Dolichoderinae,Dorymyrmex,insanus,NA,"(Buckley, 1866)",1,1,0,0,1,1,0,1,Dorymyrmex insanus,NA,60
Dolichoderinae,Dorymyrmex,pyramicus,NA,"(Roger, 1863)",1,0,1,1,1,1,1,1,Dorymyrmex pyramicus,NA,60
Dolichoderinae,Dorymyrmex,wheeleri,NA,"(Kusnezov, 1952)",1,0,0,0,0,0,0,0,Dorymyrmex wheeleri,NA,60
Dolichoderinae,Forelius,az01,NA,null,1,0,0,0,0,0,0,0,Forelius az01,NA,60
Dolichoderinae,Forelius,mccooki,NA,"(McCook, 1880)",1,1,1,1,1,1,1,1,Forelius mccooki,NA,60
Dolichoderinae,Forelius,pruinosus,NA,"(Roger, 1863)",1,1,1,1,1,1,1,1,Forelius pruinosus,NA,60
Dolichoderinae,Linepithema,humile,NA,"(Mayr, 1868)",1,1,1,0,1,0,0,0,Linepithema humile,NA,60
Dolichoderinae,Liometopum,apiculatum,NA,"Mayr, 1870",1,0,0,1,1,0,0,0,Liometopum apiculatum,NA,60
Dolichoderinae,Liometopum,luctuosum,NA,"Wheeler, 1905",1,1,0,1,1,1,0,1,Liometopum luctuosum,NA,60
Dolichoderinae,Tapinoma,sessile,NA,"(Say, 1836)",1,1,1,1,1,1,1,1,Tapinoma sessile,NA,60
Dorylinae,Acanthostichus,arizonensis,NA,"MacKay, 1996",1,0,0,0,0,0,0,0,Acanthostichus arizonensis,NA,60
Dorylinae,Acanthostichus,davisi,NA,"(Smith, 1942)",1,1,0,0,0,0,0,0,Acanthostichus davisi,NA,60
Dorylinae,Acanthostichus,punctiscapus,NA,"MacKay, 1996",1,0,0,0,1,0,0,0,Acanthostichus punctiscapus,NA,60
Dorylinae,Neivamyrmex,agilis,NA,"Borgmeier, 1953",1,0,0,0,0,0,0,0,Neivamyrmex agilis,NA,60
Dorylinae,Neivamyrmex,andrei,NA,"(Emery, 1901)",1,0,0,0,0,0,0,0,Neivamyrmex andrei,NA,60
Dorylinae,Neivamyrmex,fuscipennis,NA,"(Smith, 1942)",1,0,0,0,0,0,0,0,Neivamyrmex fuscipennis,NA,60
Dorylinae,Neivamyrmex,harrisii,NA,"(Haldeman, 1852)",1,0,0,1,0,0,0,0,Neivamyrmex harrisii,NA,60
Dorylinae,Neivamyrmex,kiowapache,NA,"Snelling & Snelling, 2007",1,0,0,1,0,0,0,0,Neivamyrmex kiowapache,NA,60
Dorylinae,Neivamyrmex,mandibularis,NA,"(Smith, 1942)",1,0,0,0,0,0,0,0,Neivamyrmex mandibularis,NA,60
Dorylinae,Neivamyrmex,melanocephalus,NA,"(Emery, 1895)",1,0,0,0,0,0,0,0,Neivamyrmex melanocephalus,NA,60
Dorylinae,Neivamyrmex,microps,NA,"Borgmeier, 1955",1,0,0,0,0,0,0,0,Neivamyrmex microps,NA,60
Dorylinae,Neivamyrmex,minor,NA,"(Cresson, 1872)",1,1,0,0,0,0,0,0,Neivamyrmex minor,NA,60
Dorylinae,Neivamyrmex,ndeh,NA,"Snelling & Snelling, 2007",1,0,0,0,0,0,0,0,Neivamyrmex ndeh,NA,60
Dorylinae,Neivamyrmex,nigrescens,NA,"(Cresson, 1872)",1,1,0,1,1,0,0,1,Neivamyrmex nigrescens,NA,60
