Subfamily	Genus	Species	Subspecies	Author Date
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Linepithema	humile		(Mayr, 1868)
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Syscia	augustae		(Wheeler, 1902)
Formicinae	Camponotus	absquatulator		Snelling, 2006
Formicinae	Camponotus	clarithorax		Creighton, 1950
Formicinae	Camponotus	conspicuus	sharpi	Forel, 1893
Formicinae	Camponotus	dumetorum		Wheeler, 1910
Formicinae	Camponotus	essigi		Smith, 1923
Formicinae	Camponotus	festinatus		(Buckley, 1866)
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	johnsoni		Mackay, 2019
Formicinae	Camponotus	keiferi		Wheeler, 1934
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	laevissimus		Mackay, 2019
Formicinae	Camponotus	maccooki		Forel, 1879
Formicinae	Camponotus	mina		Forel, 1879
Formicinae	Camponotus	ocreatus		Emery, 1893
Formicinae	Camponotus	sayi		Emery, 1893
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Camponotus	yogi		Wheeler, 1915
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	francoeuri		Bolton, 1995
Formicinae	Formica	integroides		Wheeler, 1913
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	subpolita		Mayr, 1886
Formicinae	Myrmecocystus	kennedyi		Snelling, 1969
Formicinae	Myrmecocystus	semirufus		Emery, 1893
Formicinae	Myrmecocystus	tenuinodis		Snelling, 1976
Formicinae	Myrmecocystus	testaceus		Emery, 1893
Formicinae	Myrmecocystus	yuma		Wheeler, 1912
Formicinae	Paratrechina	longicornis		(Latreille, 1802)
Formicinae	Polyergus	vinosus		Trager, 2013
Formicinae	Prenolepis	imparis		(Say, 1836)
Myrmicinae	Acromyrmex	versicolor		(Pergande, 1893)
Myrmicinae	Aphaenogaster	megommata		Smith, 1963
Myrmicinae	Aphaenogaster	patruelis		Forel, 1886
Myrmicinae	Crematogaster	californica		Wheeler, 1919
Myrmicinae	Crematogaster	cedrosensis		Wheeler, 1934
Myrmicinae	Crematogaster	coarctata		Mayr, 1870
Myrmicinae	Crematogaster	depilis		Wheeler, 1919
Myrmicinae	Crematogaster	hespera		Buren, 1968
Myrmicinae	Crematogaster	marioni		Buren, 1968
Myrmicinae	Crematogaster	rossi		Buren, 1968
Myrmicinae	Crematogaster	vermiculata		Emery, 1895
Myrmicinae	Pheidole	barbata		Wheeler, 1908
Myrmicinae	Pheidole	californica		Mayr, 1870
Myrmicinae	Pheidole	clementensis		Gregg, 1969
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	psammophila		Creighton & Gregg, 1955
Myrmicinae	Pheidole	sciophila		Wheeler, 1908
Myrmicinae	Pheidole	vistana		Forel, 1914
Myrmicinae	Pheidole	yaqui		Creighton & Gregg, 1955
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	laevinodis		Snelling, 1982
Myrmicinae	Pogonomyrmex	tenuispinus		Forel, 1914
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Temnothorax	anaphalantus		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	andrei		(Emery, 1895)
Myrmicinae	Temnothorax	caguatan		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	morongo		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	myrmiciformis		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	nitens		(Emery, 1895)
Myrmicinae	Temnothorax	obliquicanthus		(Cole, 1953)
Myrmicinae	Temnothorax	pilicornis		Prebus, 2021
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Temnothorax	wardi		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	whitfordi		(Mackay, 2000)
Myrmicinae	Veromessor	julianus		(Pergande, 1894)
Myrmicinae	Veromessor	pergandei		(Mayr, 1886)
Myrmicinae	Veromessor	stoddardi		(Emery, 1895)
Ponerinae	Hypoponera	ergatandria		(Forel, 1893)
Ponerinae	Leptogenys	peninsularis		Mann, 1926
Pseudomyrmecinae	Pseudomyrmex	apache		Creighton, 1953
Pseudomyrmecinae	Pseudomyrmex	arcanus		Ward & Branstetter, 2022
Pseudomyrmecinae	Pseudomyrmex	pallidus		(Smith, 1855)
