Subfamily	Genus	Species	Subspecies	Author Date
Amblyoponinae	Stigmatomma	oregonense		Wheeler, 1915
Amblyoponinae	Stigmatomma	pallipes		(Haldeman, 1844)
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	flavus		McCook, 1880
Dolichoderinae	Dorymyrmex	insanus		(Buckley, 1866)
Dolichoderinae	Dorymyrmex	us-ca01		null
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Linepithema	humile		(Mayr, 1868)
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Liometopum	occidentale		Emery, 1895
Dolichoderinae	Tapinoma	schreiberi		Hamm, 2010
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dolichoderinae	Technomyrmex	vitiensis		Mann, 1921
Dorylinae	Acanthostichus	davisi		(Smith, 1942)
Dorylinae	Neivamyrmex	californicus		(Mayr, 1870)
Dorylinae	Neivamyrmex	leonardi		(Wheeler, 1915)
Dorylinae	Neivamyrmex	minor		(Cresson, 1872)
Dorylinae	Neivamyrmex	mojave		(Smith, 1943)
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Dorylinae	Neivamyrmex	nyensis		Watkins, 1977
Dorylinae	Neivamyrmex	opacithorax		(Emery, 1894)
Dorylinae	Neivamyrmex	swainsonii		(Shuckard, 1840)
Dorylinae	Neivamyrmex	wilsoni		Snelling & Snelling, 2007
Dorylinae	Syscia	quisquilis		Longino & Branstetter, 2021
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Brachymyrmex	depilis_nr		null
Formicinae	Brachymyrmex	patagonicus		Mayr, 1868
Formicinae	Camponotus	absquatulator		Snelling, 2006
Formicinae	Camponotus	anthrax		Wheeler, 1911
Formicinae	Camponotus	bakeri		Wheeler, 1904
Formicinae	Camponotus	clarithorax		Creighton, 1950
Formicinae	Camponotus	dumetorum		Wheeler, 1910
Formicinae	Camponotus	essigi		Smith, 1923
Formicinae	Camponotus	fragilis		Pergande, 1893
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	johnsoni		Mackay, 2019
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	laevissimus		Mackay, 2019
Formicinae	Camponotus	maritimus		Ward, 2005
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	ocreatus		Emery, 1893
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	sayi		Emery, 1893
Formicinae	Camponotus	semitestaceus		Snelling, 1970
Formicinae	Camponotus	semitestaceus_nr		null
Formicinae	Camponotus	us-ca02		null
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Camponotus	yogi		Wheeler, 1915
Formicinae	Formica	accreta		Francoeur, 1973
Formicinae	Formica	adamsi	whymperi	Wheeler, 1917
Formicinae	Formica	aerata		Francoeur, 1973
Formicinae	Formica	altipetens		Wheeler, 1913
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	canadensis		Santschi, 1914
Formicinae	Formica	dakotensis		Emery, 1893
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	francoeuri		Bolton, 1995
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	hewitti		Wheeler, 1917
Formicinae	Formica	integroides		Wheeler, 1913
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	lepida		Wheeler, 1913
Formicinae	Formica	longipilosa		Francoeur, 1973
Formicinae	Formica	manni		Wheeler, 1913
Formicinae	Formica	microphthalma		Francoeur, 1973
Formicinae	Formica	moki		Wheeler, 1906
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	nevadensis		Wheeler, 1904
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	oreas		Wheeler, 1903
Formicinae	Formica	pacifica		Francoeur, 1973
Formicinae	Formica	pergandei		Emery, 1893
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Formica	planipilis		Creighton, 1940
Formicinae	Formica	podzolica		Francoeur, 1973
Formicinae	Formica	propinqua		Creighton, 1940
Formicinae	Formica	puberula		Emery, 1893
Formicinae	Formica	ravida		Creighton, 1940
Formicinae	Formica	sibylla		Wheeler, 1913
Formicinae	Formica	sibylla_nr		null
Formicinae	Formica	subaenescens		Emery, 1893
Formicinae	Formica	subelongata		Francoeur, 1973
Formicinae	Formica	subnitens		Creighton, 1940
Formicinae	Formica	subpolita		Mayr, 1886
Formicinae	Formica	transmontanis		Francoeur, 1973
Formicinae	Formica	us-ca01		null
Formicinae	Formica	xerophila		Smith, 1939
Formicinae	Lasius	americanus_nr1		null
Formicinae	Lasius	aphidicola		(Walsh, 1863)
Formicinae	Lasius	atopus		Cole, 1958
Formicinae	Lasius	atopus_nr		null
Formicinae	Lasius	brevicornis		Emery, 1893
Formicinae	Lasius	californicus		Wheeler, 1917
Formicinae	Lasius	crypticus		Wilson, 1955
Formicinae	Lasius	humilis		Wheeler, 1917
Formicinae	Lasius	humilis_nr		null
Formicinae	Lasius	latipes		(Walsh, 1863)
Formicinae	Lasius	murphyi		Forel, 1901
Formicinae	Lasius	neoniger_nr1		null
Formicinae	Lasius	niger_nr1		null
Formicinae	Lasius	pallitarsis		(Provancher, 1881)
Formicinae	Lasius	sitiens		Wilson, 1955
Formicinae	Lasius	subumbratus		Viereck, 1903
Formicinae	Lasius	subumbratus_nr1		null
Formicinae	Lasius	vestitus		Wheeler, 1910
Formicinae	Myrmecocystus	christineae		Snelling, 1982
Formicinae	Myrmecocystus	colei		Snelling, 1976
Formicinae	Myrmecocystus	creightoni		Snelling, 1971
Formicinae	Myrmecocystus	ewarti		Snelling, 1971
Formicinae	Myrmecocystus	flaviceps		Wheeler, 1912
Formicinae	Myrmecocystus	hammettensis		Cole, 1938
Formicinae	Myrmecocystus	kathjuli		Snelling, 1976
Formicinae	Myrmecocystus	kennedyi		Snelling, 1969
