Subfamily	Genus	Species	Subspecies	Author Date
Agroecomyrmecinae	Eulithomyrmex	rugosus		(Carpenter, 1930)
Amblyoponinae	Stigmatomma	pallipes		(Haldeman, 1844)
Dolichoderinae	Dolichoderus	antiquus		Carpenter, 1930
Dolichoderinae	Dolichoderus	rohweri		Carpenter, 1930
Dolichoderinae	Dorymyrmex	flavus		McCook, 1880
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Dorymyrmex	smithi		Cole, 1936
Dolichoderinae	Elaeomyrmex	coloradensis		Carpenter, 1930
Dolichoderinae	Elaeomyrmex	gracilis		Carpenter, 1930
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Iridomyrmex	florissantius		Carpenter, 1930
Dolichoderinae	Liometopum	apiculatum		Mayr, 1870
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Liometopum	miocenicum		Carpenter, 1930
Dolichoderinae	Liometopum	scudderi		Carpenter, 1930
Dolichoderinae	Miomyrmex	impactus		(Cockerell, 1927)
Dolichoderinae	Miomyrmex	striatus		Carpenter, 1930
Dolichoderinae	Protazteca	capitata		Carpenter, 1930
Dolichoderinae	Protazteca	elongata		Carpenter, 1930
Dolichoderinae	Protazteca	hendersoni		(Cockerell, 1906)
Dolichoderinae	Protazteca	quadrata		Carpenter, 1930
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Neivamyrmex	harrisii		(Haldeman, 1852)
Dorylinae	Neivamyrmex	kiowapache		Snelling & Snelling, 2007
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Camponotus	fuscipennis		Carpenter, 1930
Formicinae	Camponotus	herculeanus		(Linnaeus, 1758)
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	laevissimus		Mackay, 2019
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	nearcticus		Emery, 1893
Formicinae	Camponotus	novaeboracensis		(Fitch, 1855)
Formicinae	Camponotus	petrifactus		Carpenter, 1930
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Formica	accreta		Francoeur, 1973
Formicinae	Formica	adamsi		Wheeler, 1909
Formicinae	Formica	adamsi	alpina	Wheeler, 1909
Formicinae	Formica	altipetens		Wheeler, 1913
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	bradleyi		Wheeler, 1913
Formicinae	Formica	canadensis		Santschi, 1914
Formicinae	Formica	ciliata		Mayr, 1886
Formicinae	Formica	cinerea		Mayr, 1853
Formicinae	Formica	cockerelli		Carpenter, 1930
Formicinae	Formica	coloradensis		Creighton, 1940
Formicinae	Formica	comata		Wheeler, 1909
Formicinae	Formica	criniventris		Wheeler, 1912
Formicinae	Formica	dakotensis		Emery, 1893
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	dolosa		Buren, 1944
Formicinae	Formica	emeryi		Wheeler, 1913
Formicinae	Formica	exsectoides		Forel, 1886
Formicinae	Formica	fusca		Linnaeus, 1758
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	gynocrates		Snelling & Buren, 1985
Formicinae	Formica	hewitti		Wheeler, 1917
Formicinae	Formica	integra		Nylander, 1856
Formicinae	Formica	integroides		Wheeler, 1913
Formicinae	Formica	laeviceps		Creighton, 1940
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	lepida		Wheeler, 1913
Formicinae	Formica	limata		Wheeler, 1913
Formicinae	Formica	microgyna		Wheeler, 1903
Formicinae	Formica	mucescens		Wheeler, 1913
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	obscuriventris		Mayr, 1870
Formicinae	Formica	obtusopilosa		Emery, 1893
Formicinae	Formica	occulta		Francoeur, 1973
Formicinae	Formica	opaciventris		Emery, 1893
Formicinae	Formica	oreas		Wheeler, 1903
Formicinae	Formica	pallidefulva		Latreille, 1802
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Formica	planipilis		Creighton, 1940
Formicinae	Formica	podzolica		Francoeur, 1973
Formicinae	Formica	propinqua		Creighton, 1940
Formicinae	Formica	puberula		Emery, 1893
Formicinae	Formica	ravida		Creighton, 1940
Formicinae	Formica	robusta		Carpenter, 1930
Formicinae	Formica	rubicunda		Emery, 1893
Formicinae	Formica	sanguinea		Latreille, 1798
Formicinae	Formica	subintegra		Wheeler, 1908
Formicinae	Formica	subnitens		Creighton, 1940
Formicinae	Formica	wheeleri		Creighton, 1935
Formicinae	Lasius	alienus		(Foerster, 1850)
Formicinae	Lasius	claviger		(Roger, 1862)
Formicinae	Lasius	coloradensis		Wheeler, 1917
