Subfamily	Genus	Species	Subspecies	Author Date
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	bureni		(Trager, 1988)
Dolichoderinae	Dorymyrmex	insanus		(Buckley, 1866)
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Dorymyrmex	smithi		Cole, 1936
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Linepithema	humile		(Mayr, 1868)
Dolichoderinae	Liometopum	apiculatum		Mayr, 1870
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Acanthostichus	punctiscapus		MacKay, 1996
Dorylinae	Neivamyrmex	carolinensis		(Emery, 1894)
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Dorylinae	Neivamyrmex	opacithorax		(Emery, 1894)
Dorylinae	Neivamyrmex	rugulosus		Borgmeier, 1953
Dorylinae	Neivamyrmex	swainsonii		(Shuckard, 1840)
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Camponotus	acutirostris		Wheeler, 1910
Formicinae	Camponotus	festinatus		(Buckley, 1866)
Formicinae	Camponotus	fragilis		Pergande, 1893
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	nearcticus		Emery, 1893
Formicinae	Camponotus	pennsylvanicus		(De Geer, 1773)
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Formica	accreta		Francoeur, 1973
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	calviceps		Cole, 1954
Formicinae	Formica	ciliata		Mayr, 1886
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	fusca		Linnaeus, 1758
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	hewitti		Wheeler, 1917
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	limata		Wheeler, 1913
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	obtusopilosa		Emery, 1893
Formicinae	Formica	occulta		Francoeur, 1973
Formicinae	Formica	opaciventris		Emery, 1893
Formicinae	Formica	oreas		Wheeler, 1903
Formicinae	Formica	pallidefulva		Latreille, 1802
Formicinae	Formica	perpilosa		Wheeler, 1910
