Subfamily	Genus	Species	Subspecies	Author Date
Amblyoponinae	Stigmatomma	pallipes		(Haldeman, 1844)
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	insanus		(Buckley, 1866)
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Dorymyrmex	smithi		Cole, 1936
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Tapinoma	schreiberi		Hamm, 2010
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Neivamyrmex	nyensis		Watkins, 1977
Formicinae	Camponotus	essigi		Smith, 1923
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	laevigatus		(Smith, 1858)
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	sayi		Emery, 1893
Formicinae	Camponotus	semitestaceus		Snelling, 1970
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Formica	accreta		Francoeur, 1973
Formicinae	Formica	aerata		Francoeur, 1973
Formicinae	Formica	altipetens		Wheeler, 1913
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	fusca		Linnaeus, 1758
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	manni		Wheeler, 1913
Formicinae	Formica	microgyna		Wheeler, 1903
Formicinae	Formica	microphthalma		Francoeur, 1973
Formicinae	Formica	moki		Wheeler, 1906
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	nevadensis		Wheeler, 1904
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	obtusopilosa		Emery, 1893
Formicinae	Formica	oreas		Wheeler, 1903
Formicinae	Formica	oregonensis		Cole, 1938
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Formica	planipilis		Creighton, 1940
Formicinae	Formica	podzolica		Francoeur, 1973
Formicinae	Formica	propinqua		Creighton, 1940
Formicinae	Formica	ravida		Creighton, 1940
Formicinae	Formica	sanguinea		Latreille, 1798
Formicinae	Formica	subaenescens		Emery, 1893
Formicinae	Formica	subnitens		Creighton, 1940
Formicinae	Formica	subpolita		Mayr, 1886
Formicinae	Formica	xerophila		Smith, 1939
Formicinae	Lasius	alienus		(Foerster, 1850)
Formicinae	Lasius	brevicornis		Emery, 1893
Formicinae	Lasius	coloradensis		Wheeler, 1917
Formicinae	Lasius	flavus		(Fabricius, 1782)
Formicinae	Lasius	humilis		Wheeler, 1917
Formicinae	Lasius	latipes		(Walsh, 1863)
Formicinae	Lasius	neoniger		Emery, 1893
Formicinae	Lasius	nevadensis		Cole, 1956
Formicinae	Lasius	niger		(Linnaeus, 1758)
Formicinae	Lasius	pallitarsis		(Provancher, 1881)
Formicinae	Lasius	sitiens		Wilson, 1955
Formicinae	Lasius	subumbratus		Viereck, 1903
Formicinae	Myrmecocystus	arenarius		Snelling, 1982
Formicinae	Myrmecocystus	flaviceps		Wheeler, 1912
Formicinae	Myrmecocystus	kennedyi		Snelling, 1969
Formicinae	Myrmecocystus	koso		Snelling, 1976
Formicinae	Myrmecocystus	lugubris		Wheeler, 1909
Formicinae	Myrmecocystus	melliger		Forel, 1886
Formicinae	Myrmecocystus	mendax		Wheeler, 1908
Formicinae	Myrmecocystus	mexicanus		Wesmael, 1838
Formicinae	Myrmecocystus	navajo		Wheeler, 1908
Formicinae	Myrmecocystus	pyramicus		Smith, 1951
Formicinae	Myrmecocystus	semirufus		Emery, 1893
Formicinae	Myrmecocystus	testaceus		Emery, 1893
Formicinae	Myrmecocystus	yuma		Wheeler, 1912
Formicinae	Nylanderia	terricola		(Buckley, 1866)
Formicinae	Polyergus	breviceps		Emery, 1893
Formicinae	Polyergus	mexicanus		Forel, 1899
Myrmicinae	Aphaenogaster	boulderensis		Smith, 1941
Myrmicinae	Aphaenogaster	megommata		Smith, 1963
Myrmicinae	Aphaenogaster	occidentalis		(Emery, 1895)
Myrmicinae	Aphaenogaster	uinta		Wheeler, 1917
Myrmicinae	Crematogaster	coarctata		Mayr, 1870
Myrmicinae	Crematogaster	depilis		Wheeler, 1919
Myrmicinae	Crematogaster	detecta		Ward & Blaimer, 2022
Myrmicinae	Crematogaster	hespera		Buren, 1968
Myrmicinae	Crematogaster	laeviuscula		Mayr, 1870
Myrmicinae	Crematogaster	mutans		Buren, 1968
Myrmicinae	Crematogaster	opuntiae		Buren, 1968
Myrmicinae	Crematogaster	vermiculata		Emery, 1895
Myrmicinae	Leptothorax	calderoni		Creighton, 1950
Myrmicinae	Leptothorax	canadensis		Provancher, 1887
Myrmicinae	Leptothorax	crassipilis		Wheeler, 1917
Myrmicinae	Leptothorax	muscorum		(Nylander, 1846)
Myrmicinae	Manica	bradleyi		(Wheeler, 1909)
Myrmicinae	Manica	hunteri		(Wheeler, 1914)
Myrmicinae	Manica	invidia		Bolton, 1995
Myrmicinae	Monomorium	ergatogyna		Wheeler, 1904
Myrmicinae	Monomorium	minimum		(Buckley, 1867)
Myrmicinae	Monomorium	viridum		Brown, 1943
Myrmicinae	Myrmica	crassirugis		Francoeur, 2007
Myrmicinae	Myrmica	discontinua		Weber, 1939
Myrmicinae	Myrmica	fracticornis		Forel, 1901
Myrmicinae	Myrmica	glacialis		Emery, 1921
Myrmicinae	Myrmica	incompleta		Provancher, 1881
Myrmicinae	Myrmica	lobifrons		Pergande, 1900
Myrmicinae	Myrmica	tahoensis		Weber, 1948
Myrmicinae	Myrmica	wheelerorum		Francoeur, 2007
Myrmicinae	Pheidole	barbata		Wheeler, 1908
Myrmicinae	Pheidole	bicarinata		Mayr, 1870
Myrmicinae	Pheidole	californica		Mayr, 1870
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	creightoni		Gregg, 1955
Myrmicinae	Pheidole	desertorum		Wheeler, 1906
Myrmicinae	Pheidole	gilvescens		Creighton & Gregg, 1955
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	inquilina		(Wheeler, 1903)
Myrmicinae	Pheidole	paiute		Gregg, 1959
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	vistana		Forel, 1914
Myrmicinae	Pheidole	xerophila		Wheeler, 1908
Myrmicinae	Pogonomyrmex	brevispinosus		Cole, 1968
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	colei		Snelling, 1982
Myrmicinae	Pogonomyrmex	hoelldobleri		Johnson <i>et al.</i>, 2013
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	occidentalis		(Cresson, 1865)
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Pogonomyrmex	salinus		Olsen, 1934
Myrmicinae	Pogonomyrmex	subdentatus		Mayr, 1870
Myrmicinae	Solenopsis	krockowi		Wheeler, 1908
Myrmicinae	Solenopsis	molesta		(Say, 1836)
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Stenamma	smithi		Cole, 1966
Myrmicinae	Stenamma	snellingi		Bolton, 1995
Myrmicinae	Stenamma	wheelerorum		Snelling, 1973
Myrmicinae	Temnothorax	andrei		(Emery, 1895)
Myrmicinae	Temnothorax	neomexicanus		(Wheeler, 1903)
Myrmicinae	Temnothorax	nevadensis		(Wheeler, 1903)
Myrmicinae	Temnothorax	nitens		(Emery, 1895)
Myrmicinae	Temnothorax	nuwuvi		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	paiute		Snelling <i>et al.</i>, 2014
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Temnothorax	whitfordi		(Mackay, 2000)
Myrmicinae	Tetramorium	caespitum		(Linnaeus, 1758)
Myrmicinae	Tetramorium	immigrans		Santschi, 1927
Myrmicinae	Veromessor	lariversi		Smith, 1951
Myrmicinae	Veromessor	lobognathus		(Andrews, 1916)
Myrmicinae	Veromessor	pergandei		(Mayr, 1886)
Myrmicinae	Veromessor	smithi		Cole, 1963
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Pseudomyrmecinae	Pseudomyrmex	pallidus		(Smith, 1855)
