Subfamily	Genus	Species	Subspecies	Author Date
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Nomamyrmex	esenbeckii		(Westwood, 1842)
Formicinae	Brachymyrmex	heeri		Forel, 1874
Formicinae	Camponotus	atriceps		(Smith, 1858)
Formicinae	Camponotus	festinatus		(Buckley, 1866)
Formicinae	Camponotus	fragilis		Pergande, 1893
Formicinae	Camponotus	fumidus		Roger, 1863
Formicinae	Camponotus	mina		Forel, 1879
Formicinae	Camponotus	pudorosus		Emery, 1925
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Colobopsis	papago		(Creighton, 1953)
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Myrmecocystus	kennedyi		Snelling, 1969
Formicinae	Myrmecocystus	melliger		Forel, 1886
Formicinae	Myrmecocystus	mimicus		Wheeler, 1908
Formicinae	Myrmecocystus	nequazcatl		Snelling, 1976
Formicinae	Myrmecocystus	placodops		Forel, 1908
Formicinae	Nylanderia	bruesii		(Wheeler, 1903)
Formicinae	Nylanderia	guatemalensis		(Forel, 1885)
Formicinae	Nylanderia	terricola		(Buckley, 1866)
Formicinae	Paratrechina	longicornis		(Latreille, 1802)
Myrmicinae	Aphaenogaster	megommata		Smith, 1963
Myrmicinae	Atta	mexicana		(Smith, 1858)
Myrmicinae	Cephalotes	rohweri		(Wheeler, 1916)
Myrmicinae	Crematogaster	browni		Buren, 1968
Myrmicinae	Crematogaster	colei		Buren, 1968
Myrmicinae	Crematogaster	dentinodis		Forel, 1901
Myrmicinae	Crematogaster	depilis		Wheeler, 1919
Myrmicinae	Crematogaster	hespera		Buren, 1968
Myrmicinae	Crematogaster	opuntiae		Buren, 1968
Myrmicinae	Crematogaster	torosa		Mayr, 1870
Myrmicinae	Crematogaster	vetusta		Ward & Blaimer, 2022
Myrmicinae	Monomorium	cyaneum		Wheeler, 1914
Myrmicinae	Monomorium	minimum		(Buckley, 1867)
Myrmicinae	Monomorium	viridum		Brown, 1943
Myrmicinae	Novomessor	albisetosus		(Mayr, 1886)
Myrmicinae	Novomessor	cockerelli		(André, 1893)
Myrmicinae	Pheidole	gilvescens		Creighton & Gregg, 1955
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	obtusospinosa		Pergande, 1896
Myrmicinae	Pheidole	pallidula		(Nylander, 1849)
Myrmicinae	Pheidole	rhea		Wheeler, 1908
Myrmicinae	Pheidole	sciophila		Wheeler, 1908
Myrmicinae	Pheidole	soritis		Wheeler, 1908
Myrmicinae	Pheidole	xerophila		Wheeler, 1908
Myrmicinae	Pogonomyrmex	apache		Wheeler, 1902
Myrmicinae	Pogonomyrmex	bicolor		Cole, 1968
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	imberbiculus		Wheeler, 1902
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	pima		Wheeler, 1909
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Solenopsis	aurea		Wheeler, 1906
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Temnothorax	ocarinae		(Baroni Urbani, 1978)
Myrmicinae	Temnothorax	politus		(Smith, 1939)
Myrmicinae	Temnothorax	quercicola		Prebus, 2021
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Tetramorium	caldarium		(Roger, 1857)
Myrmicinae	Tetramorium	hispidum		(Wheeler, 1915)
Myrmicinae	Trachymyrmex	arizonensis		(Wheeler, 1907)
Myrmicinae	Veromessor	pergandei		(Mayr, 1886)
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Ponerinae	Leptogenys	sonora		Lattke, 2011
Ponerinae	Odontomachus	clarus		Roger, 1861
Ponerinae	Odontomachus	desertorum		Wheeler, 1915
Pseudomyrmecinae	Pseudomyrmex	apache		Creighton, 1953
Pseudomyrmecinae	Pseudomyrmex	championi		(Forel, 1899)
Pseudomyrmecinae	Pseudomyrmex	major		(Forel, 1899)
Pseudomyrmecinae	Pseudomyrmex	pallidus		(Smith, 1855)
Pseudomyrmecinae	Pseudomyrmex	seminole		Ward, 1985
