Subfamily	Genus	Species	Subspecies	Author Date
Dolichoderinae	Dorymyrmex	bicolor		Wheeler, 1906
Dolichoderinae	Dorymyrmex	insanus		(Buckley, 1866)
Dolichoderinae	Dorymyrmex	paiute		Snelling, 1995
Dolichoderinae	Dorymyrmex	pyramicus		(Roger, 1863)
Dolichoderinae	Dorymyrmex	smithi		Cole, 1936
Dolichoderinae	Forelius	mccooki		(McCook, 1880)
Dolichoderinae	Forelius	pruinosus		(Roger, 1863)
Dolichoderinae	Liometopum	luctuosum		Wheeler, 1905
Dolichoderinae	Tapinoma	sessile		(Say, 1836)
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Formicinae	Brachymyrmex	depilis		Emery, 1893
Formicinae	Camponotus	clarithorax		Creighton, 1950
Formicinae	Camponotus	discolor		(Buckley, 1866)
Formicinae	Camponotus	essigi		Smith, 1923
Formicinae	Camponotus	herculeanus		(Linnaeus, 1758)
Formicinae	Camponotus	hyatti		Emery, 1893
Formicinae	Camponotus	laevissimus		Mackay, 2019
Formicinae	Camponotus	modoc		Wheeler, 1910
Formicinae	Camponotus	nearcticus		Emery, 1893
Formicinae	Camponotus	sansabeanus		(Buckley, 1866)
Formicinae	Camponotus	vicinus		Mayr, 1870
Formicinae	Formica	adamsi	whymperi	Wheeler, 1917
Formicinae	Formica	altipetens		Wheeler, 1913
Formicinae	Formica	argentea		Wheeler, 1912
Formicinae	Formica	aserva		Forel, 1901
Formicinae	Formica	canadensis		Santschi, 1914
Formicinae	Formica	ciliata		Mayr, 1886
Formicinae	Formica	cinerea		Mayr, 1853
Formicinae	Formica	coloradensis		Creighton, 1940
Formicinae	Formica	criniventris		Wheeler, 1912
Formicinae	Formica	dakotensis		Emery, 1893
Formicinae	Formica	densiventris		Viereck, 1903
Formicinae	Formica	emeryi		Wheeler, 1913
Formicinae	Formica	fusca		Linnaeus, 1758
Formicinae	Formica	gnava		Buckley, 1866
Formicinae	Formica	hewitti		Wheeler, 1917
Formicinae	Formica	integroides		Wheeler, 1913
Formicinae	Formica	laeviceps		Creighton, 1940
Formicinae	Formica	lasioides		Emery, 1893
Formicinae	Formica	lepida		Wheeler, 1913
Formicinae	Formica	limata		Wheeler, 1913
Formicinae	Formica	manni		Wheeler, 1913
Formicinae	Formica	microgyna		Wheeler, 1903
Formicinae	Formica	moki		Wheeler, 1906
Formicinae	Formica	mucescens		Wheeler, 1913
Formicinae	Formica	neoclara		Emery, 1893
Formicinae	Formica	neogagates		Viereck, 1903
Formicinae	Formica	neorufibarbis		Emery, 1893
Formicinae	Formica	obscuripes		Forel, 1886
Formicinae	Formica	obscuriventris		Mayr, 1870
Formicinae	Formica	obtusopilosa		Emery, 1893
Formicinae	Formica	occulta		Francoeur, 1973
Formicinae	Formica	opaciventris		Emery, 1893
Formicinae	Formica	oreas		Wheeler, 1903
Formicinae	Formica	oregonensis		Cole, 1938
Formicinae	Formica	perpilosa		Wheeler, 1910
Formicinae	Formica	planipilis		Creighton, 1940
Formicinae	Formica	podzolica		Francoeur, 1973
Formicinae	Formica	propinqua		Creighton, 1940
Formicinae	Formica	puberula		Emery, 1893
Formicinae	Formica	ravida		Creighton, 1940
Formicinae	Formica	sanguinea		Latreille, 1798
Formicinae	Formica	subaenescens		Emery, 1893
Formicinae	Formica	subnitens		Creighton, 1940
Formicinae	Formica	subpolita		Mayr, 1886
Formicinae	Formica	wheeleri		Creighton, 1935
Formicinae	Formica	xerophila		Smith, 1939
Formicinae	Lasius	alienus		(Foerster, 1850)
Formicinae	Lasius	brevicornis		Emery, 1893
Formicinae	Lasius	claviger		(Roger, 1862)
Formicinae	Lasius	coloradensis		Wheeler, 1917
Formicinae	Lasius	crypticus		Wilson, 1955
Formicinae	Lasius	fallax		Wilson, 1955
Formicinae	Lasius	flavus		(Fabricius, 1782)
Formicinae	Lasius	humilis		Wheeler, 1917
Formicinae	Lasius	interjectus		Mayr, 1866
Formicinae	Lasius	latipes		(Walsh, 1863)
Formicinae	Lasius	neoniger		Emery, 1893
Formicinae	Lasius	niger		(Linnaeus, 1758)
Formicinae	Lasius	pallitarsis		(Provancher, 1881)
Formicinae	Lasius	sitiens		Wilson, 1955
Formicinae	Lasius	subumbratus		Viereck, 1903
Formicinae	Lasius	umbratus		(Nylander, 1846)
Formicinae	Myrmecocystus	mendax		Wheeler, 1908
Formicinae	Myrmecocystus	mexicanus		Wesmael, 1838
Formicinae	Myrmecocystus	navajo		Wheeler, 1908
Formicinae	Myrmecocystus	placodops		Forel, 1908
Formicinae	Myrmecocystus	semirufus		Emery, 1893
Formicinae	Myrmecocystus	testaceus		Emery, 1893
Formicinae	Nylanderia	hystrix		(Trager, 1984)
Formicinae	Polyergus	mexicanus		Forel, 1899
Formicinae	Prenolepis	imparis		(Say, 1836)
Myrmicinae	Aphaenogaster	boulderensis		Smith, 1941
Myrmicinae	Aphaenogaster	occidentalis		(Emery, 1895)
Myrmicinae	Aphaenogaster	uinta		Wheeler, 1917
Myrmicinae	Crematogaster	coarctata		Mayr, 1870
Myrmicinae	Crematogaster	colei		Buren, 1968
Myrmicinae	Crematogaster	depilis		Wheeler, 1919
Myrmicinae	Crematogaster	detecta		Ward & Blaimer, 2022
Myrmicinae	Crematogaster	emeryana		Creighton, 1950
Myrmicinae	Crematogaster	hespera		Buren, 1968
Myrmicinae	Crematogaster	isolata		Buren, 1968
Myrmicinae	Crematogaster	missouriensis		Emery, 1895
Myrmicinae	Crematogaster	navajoa		Buren, 1968
Myrmicinae	Crematogaster	nocturna		Buren, 1968
Myrmicinae	Formicoxenus	chamberlini		(Wheeler, 1904)
Myrmicinae	Formicoxenus	diversipilosus		(Smith, 1939)
Myrmicinae	Formicoxenus	hirticornis		(Emery, 1895)
Myrmicinae	Formicoxenus	provancheri		(Emery, 1895)
Myrmicinae	Leptothorax	canadensis		Provancher, 1887
Myrmicinae	Leptothorax	crassipilis		Wheeler, 1917
Myrmicinae	Leptothorax	muscorum		(Nylander, 1846)
Myrmicinae	Manica	hunteri		(Wheeler, 1914)
Myrmicinae	Manica	invidia		Bolton, 1995
Myrmicinae	Monomorium	ergatogyna		Wheeler, 1904
Myrmicinae	Monomorium	minimum		(Buckley, 1867)
Myrmicinae	Monomorium	viridum		Brown, 1943
Myrmicinae	Myrmica	americana		Weber, 1939
Myrmicinae	Myrmica	brevispinosa		Wheeler, 1917
Myrmicinae	Myrmica	crassirugis		Francoeur, 2007
Myrmicinae	Myrmica	discontinua		Weber, 1939
Myrmicinae	Myrmica	fracticornis		Forel, 1901
Myrmicinae	Myrmica	hamulata		Weber, 1939
Myrmicinae	Myrmica	incompleta		Provancher, 1881
Myrmicinae	Myrmica	latifrons		Stärcke, 1927
Myrmicinae	Myrmica	monticola		Creighton, 1950
Myrmicinae	Myrmica	nearctica		Weber, 1939
Myrmicinae	Myrmica	rugiventris		(Smith, 1943)
Myrmicinae	Myrmica	schencki		Viereck, 1903
Myrmicinae	Myrmica	striolagaster		Cole, 1953
Myrmicinae	Pheidole	bicarinata		Mayr, 1870
Myrmicinae	Pheidole	californica		Mayr, 1870
Myrmicinae	Pheidole	ceres		Wheeler, 1904
Myrmicinae	Pheidole	clydei		Gregg, 1950
Myrmicinae	Pheidole	grundmanni		Smith, 1953
Myrmicinae	Pheidole	hyatti		Emery, 1895
Myrmicinae	Pheidole	inquilina		(Wheeler, 1903)
Myrmicinae	Pheidole	micula		Wheeler, 1915
Myrmicinae	Pheidole	paiute		Gregg, 1959
Myrmicinae	Pheidole	pilifera		(Roger, 1863)
Myrmicinae	Pheidole	senex		Gregg, 1952
Myrmicinae	Pheidole	soritis		Wheeler, 1908
Myrmicinae	Pogonomyrmex	californicus		(Buckley, 1867)
Myrmicinae	Pogonomyrmex	hoelldobleri		Johnson <i>et al.</i>, 2013
Myrmicinae	Pogonomyrmex	maricopa		Wheeler, 1914
Myrmicinae	Pogonomyrmex	occidentalis		(Cresson, 1865)
Myrmicinae	Pogonomyrmex	rugosus		Emery, 1895
Myrmicinae	Pogonomyrmex	salinus		Olsen, 1934
Myrmicinae	Pogonomyrmex	subnitidus		Emery, 1895
Myrmicinae	Solenopsis	aurea		Wheeler, 1906
Myrmicinae	Solenopsis	carolinensis		Forel, 1901
Myrmicinae	Solenopsis	molesta		(Say, 1836)
Myrmicinae	Solenopsis	salina		Wheeler, 1908
Myrmicinae	Solenopsis	validiuscula		Emery, 1895
Myrmicinae	Solenopsis	xyloni		McCook, 1880
Myrmicinae	Stenamma	chiricahua		Snelling, 1973
Myrmicinae	Stenamma	diecki		Emery, 1895
Myrmicinae	Stenamma	smithi		Cole, 1966
Myrmicinae	Stenamma	snellingi		Bolton, 1995
Myrmicinae	Strumigenys	ananeotes		Longino & Booher, 2019
Myrmicinae	Temnothorax	andrei		(Emery, 1895)
Myrmicinae	Temnothorax	carinatus		(Cole, 1957)
Myrmicinae	Temnothorax	neomexicanus		(Wheeler, 1903)
Myrmicinae	Temnothorax	nevadensis		(Wheeler, 1903)
Myrmicinae	Temnothorax	nitens		(Emery, 1895)
Myrmicinae	Temnothorax	obliquicanthus		(Cole, 1953)
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Temnothorax	tricarinatus		(Emery, 1895)
Myrmicinae	Tetramorium	caespitum		(Linnaeus, 1758)
Myrmicinae	Tetramorium	hispidum		(Wheeler, 1915)
Myrmicinae	Tetramorium	immigrans		Santschi, 1927
Myrmicinae	Veromessor	lobognathus		(Andrews, 1916)
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Ponerinae	Ponera	pennsylvanica		Buckley, 1866
