STE2_Level,STE2_ID,STE1_Level,STE1_ID,OrganismRowID,LastUpdateDate,EndDate,OrganismCode,CommonName,FinalID,ParentOrganismFinalID,ParentOrganismCode,Active,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode,OrganismGroup,OrganismCategory1,OrganismCategory2,OrganismType1,OrganismType2,OrganismType3,OrganismType4,TaxaList,LifeStageDefault,TaxonomicAuthority,CaliforniaTaxon,EnterDate,DateFinalIDRevised,FinalIDAuthority,Source,OrganismComments,RLSID
Genus,Agelenopsis,Family,Agelenidae,,,,,,Agelenopsis,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Agelenopsis,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Agelenopsis,Family,Agelenidae,,,,,,Agelenopsis aperta,Agelenopsis,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Agelenopsis,,Agelenopsis aperta,,,60,,,,,,,,0,A,(Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Agelenopsis,Family,Agelenidae,,,,,,Agelenopsis potteri,Agelenopsis,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Agelenopsis,,Agelenopsis potteri,,,60,,,,,,,,0,A,(Blackwall),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena,Agelenidae,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,,,,50,,,,,,,,0,A,,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena absoluta,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena absoluta,,,60,,,,,,,,0,A,(Gertsch),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena adna,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena adna,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena angelena,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena angelena,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena californica,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena californica,,,60,,,,,,,,0,A,(Banks),-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena gosoga,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena gosoga,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
Genus,Calilena,Family,Agelenidae,,,,,,Calilena magna,Calilena,,-1,Arthropoda,Chelicerata,,Euchelicerata,Arachnida,,Araneae,,,Agelenidae,,,,Calilena,,Calilena magna,,,60,,,,,,,,0,A,Chamberlin & Ivie,-1,,,CSUMB-WEE,CSUMB-WEE,,
