user_supplied_name,submitted_name,data_source_title,score,matched_name2
Acrididae,Acrididae,Encyclopedia of Life,0.75,Acrididae
Acrididae,Acrididae,Catalogue of Life Checklist,0.75,Acrididae
Aderidae,Aderidae,Catalogue of Life Checklist,0.75,Aderidae
Aderidae,Aderidae,Encyclopedia of Life,0.75,Aderidae
Aelothripidae,Aelothripidae,Catalogue of Life Checklist,0.5,Aeolothripidae
Aelothripidae,Aelothripidae,Encyclopedia of Life,0.5,Aeolothripidae
Aetalionidae,Aetalionidae,Encyclopedia of Life,0.75,Aetalionidae
Aetalionidae,Aetalionidae,Catalogue of Life Checklist,0.75,Aetalionidae
Agelenidae,Agelenidae,Catalogue of Life Checklist,0.75,Agelenidae
Agelenidae,Agelenidae,Encyclopedia of Life,0.75,Agelenidae
Agyrtidae,Agyrtidae,Catalogue of Life Checklist,0.75,Agyrtidae
Agyrtidae,Agyrtidae,Encyclopedia of Life,0.75,Agyrtidae
Alloniscidae,Alloniscidae,Encyclopedia of Life,0.75,Alloniscidae
Alloniscidae,Alloniscidae,Catalogue of Life Checklist,0.75,Alloniscidae
Amaurobiidae,Amaurobiidae,Catalogue of Life Checklist,0.75,Amaurobiidae
Amaurobiidae,Amaurobiidae,Encyclopedia of Life,0.75,Amaurobiidae
Ammotrechidae,Ammotrechidae,Encyclopedia of Life,0.75,Ammotrechidae
Ammotrechidae,Ammotrechidae,Catalogue of Life Checklist,0.75,Ammotrechidae
Amphizoidae,Amphizoidae,Catalogue of Life Checklist,0.75,Amphizoidae
Amphizoidae,Amphizoidae,Encyclopedia of Life,0.75,Amphizoidae
Anapidae,Anapidae,Catalogue of Life Checklist,0.75,Anapidae
Anapidae,Anapidae,Encyclopedia of Life,0.75,Anapidae
Anamorphidae,Anamorphidae,Catalogue of Life Checklist,0.75,Anamorphidae
Anamorphidae,Anamorphidae,Encyclopedia of Life,0.75,Anamorphidae
Anobiidae,Anobiidae,Catalogue of Life Checklist,0.75,Anobiidae
Antrodiaetidae,Antrodiaetidae,Catalogue of Life Checklist,0.75,Antrodiaetidae
Antrodiaetidae,Antrodiaetidae,Encyclopedia of Life,0.75,Antrodiaetidae
