user_supplied_name,submitted_name,data_source_title,score,matched_name2
Aulacomniaceae,Aulacomniaceae,Catalogue of Life Checklist,0.75,Aulacomniaceae
Aulacomniaceae,Aulacomniaceae,Encyclopedia of Life,0.75,Aulacomniaceae
Aulacomniaceae,Aulacomniaceae,Tropicos - Missouri Botanical Garden,0.75,Aulacomniaceae
Amblystegium,Amblystegium,Catalogue of Life Checklist,0.75,Amblystegium
Amblystegium,Amblystegium,Encyclopedia of Life,0.75,Amblystegium
Amblystegium,Amblystegium,Tropicos - Missouri Botanical Garden,0.75,Amblystegium
Amblystegium juratzkanum,Amblystegium juratzkanum,Encyclopedia of Life,0.988,Amblystegium juratzkanum
Amblystegium juratzkanum,Amblystegium juratzkanum,Catalogue of Life Checklist,0.988,Amblystegium juratzkanum
Amblystegium juratzkanum,Amblystegium juratzkanum,Tropicos - Missouri Botanical Garden,0.988,Amblystegium juratzkanum
Amblystegium radicale,Amblystegium radicale,Tropicos - Missouri Botanical Garden,0.988,Amblystegium radicale
Amblystegium serpens,Amblystegium serpens,Encyclopedia of Life,0.988,Amblystegium serpens
Amblystegium serpens,Amblystegium serpens,Catalogue of Life Checklist,0.988,Amblystegium serpens
Amblystegium serpens,Amblystegium serpens,Tropicos - Missouri Botanical Garden,0.988,Amblystegium serpens
Amblystegium varium,Amblystegium varium,Encyclopedia of Life,0.988,Amblystegium varium
Amblystegium varium,Amblystegium varium,Tropicos - Missouri Botanical Garden,0.988,Amblystegium varium
Campylium,Campylium,Catalogue of Life Checklist,0.75,Campylium
Campylium,Campylium,Encyclopedia of Life,0.75,Campylium
Campylium,Campylium,Tropicos - Missouri Botanical Garden,0.75,Campylium
Campylium chrysophyllum,Campylium chrysophyllum,Encyclopedia of Life,0.988,Campylium chrysophyllum
Campylium chrysophyllum,Campylium chrysophyllum,Catalogue of Life Checklist,0.988,Campylium chrysophyllum
Campylium chrysophyllum,Campylium chrysophyllum,Tropicos - Missouri Botanical Garden,0.988,Campylium chrysophyllum
Campylium hispidulum,Campylium hispidulum,Encyclopedia of Life,0.988,Campylium hispidulum
Campylium hispidulum,Campylium hispidulum,Catalogue of Life Checklist,0.988,Campylium hispidulum
Campylium hispidulum,Campylium hispidulum,Tropicos - Missouri Botanical Garden,0.988,Campylium hispidulum
Conardia,Conardia,Catalogue of Life Checklist,0.75,Conardia
Conardia,Conardia,Encyclopedia of Life,0.75,Conardia
Conardia,Conardia,Tropicos - Missouri Botanical Garden,0.75,Conardia
Conardia compacta,Conardia compacta,Encyclopedia of Life,0.988,Conardia compacta
Conardia compacta,Conardia compacta,Catalogue of Life Checklist,0.988,Conardia compacta
Conardia compacta,Conardia compacta,Tropicos - Missouri Botanical Garden,0.988,Conardia compacta
Cratoneuron,Cratoneuron,Catalogue of Life Checklist,0.75,Cratoneuron
Cratoneuron,Cratoneuron,Encyclopedia of Life,0.75,Cratoneuron
Cratoneuron,Cratoneuron,Tropicos - Missouri Botanical Garden,0.75,Cratoneuron
Cratoneuron filicinum,Cratoneuron filicinum,Encyclopedia of Life,0.988,Cratoneuron filicinum
Cratoneuron filicinum,Cratoneuron filicinum,Catalogue of Life Checklist,0.988,Cratoneuron filicinum
Cratoneuron filicinum,Cratoneuron filicinum,Tropicos - Missouri Botanical Garden,0.988,Cratoneuron filicinum
Drepanocladus,Drepanocladus,Catalogue of Life Checklist,0.75,Drepanocladus
Drepanocladus,Drepanocladus,Encyclopedia of Life,0.75,Drepanocladus
Drepanocladus,Drepanocladus,Tropicos - Missouri Botanical Garden,0.75,Drepanocladus
Drepanocladus aduncus,Drepanocladus aduncus,Encyclopedia of Life,0.988,Drepanocladus aduncus
Drepanocladus aduncus,Drepanocladus aduncus,Catalogue of Life Checklist,0.988,Drepanocladus aduncus
Drepanocladus aduncus,Drepanocladus aduncus,Tropicos - Missouri Botanical Garden,0.988,Drepanocladus aduncus
Drepanocladus capillifolius,Drepanocladus capillifolius,Encyclopedia of Life,0.988,Drepanocladus capillifolius
Drepanocladus capillifolius,Drepanocladus capillifolius,Tropicos - Missouri Botanical Garden,0.988,Drepanocladus capillifolius
Drepanocladus polycarpos,Drepanocladus polycarpos,Tropicos - Missouri Botanical Garden,0.988,Drepanocladus polycarpos
Drepanocladus polygamus,Drepanocladus polygamus,Encyclopedia of Life,0.988,Drepanocladus polygamus
Drepanocladus polygamus,Drepanocladus polygamus,Tropicos - Missouri Botanical Garden,0.988,Drepanocladus polygamus
Hygroamblystegium,Hygroamblystegium,Catalogue of Life Checklist,0.75,Hygroamblystegium
Hygroamblystegium,Hygroamblystegium,Encyclopedia of Life,0.75,Hygroamblystegium
Hygroamblystegium,Hygroamblystegium,Tropicos - Missouri Botanical Garden,0.75,Hygroamblystegium
Hygroamblystegium tenax,Hygroamblystegium tenax,Encyclopedia of Life,0.988,Hygroamblystegium tenax
Hygroamblystegium tenax,Hygroamblystegium tenax,Catalogue of Life Checklist,0.988,Hygroamblystegium tenax
Hygroamblystegium tenax,Hygroamblystegium tenax,Tropicos - Missouri Botanical Garden,0.988,Hygroamblystegium tenax
Hygrohypnum,Hygrohypnum,Catalogue of Life Checklist,0.75,Hygrohypnum
Hygrohypnum,Hygrohypnum,Encyclopedia of Life,0.75,Hygrohypnum
Hygrohypnum,Hygrohypnum,Tropicos - Missouri Botanical Garden,0.75,Hygrohypnum
Hygrohypnum alpinum,Hygrohypnum alpinum,Encyclopedia of Life,0.988,Hygrohypnum alpinum
Hygrohypnum alpinum,Hygrohypnum alpinum,Catalogue of Life Checklist,0.988,Hygrohypnum alpinum
Hygrohypnum alpinum,Hygrohypnum alpinum,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum alpinum
Hygrohypnum bestii,Hygrohypnum bestii,Encyclopedia of Life,0.988,Hygrohypnum bestii
Hygrohypnum bestii,Hygrohypnum bestii,Catalogue of Life Checklist,0.988,Hygrohypnum bestii
Hygrohypnum bestii,Hygrohypnum bestii,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum bestii
Hygrohypnum cochlearifolium,Hygrohypnum cochlearifolium,Encyclopedia of Life,0.988,Hygrohypnum cochlearifolium
Hygrohypnum cochlearifolium,Hygrohypnum cochlearifolium,Catalogue of Life Checklist,0.988,Hygrohypnum cochlearifolium
Hygrohypnum duriusculum,Hygrohypnum duriusculum,Encyclopedia of Life,0.988,Hygrohypnum duriusculum
Hygrohypnum duriusculum,Hygrohypnum duriusculum,Catalogue of Life Checklist,0.988,Hygrohypnum duriusculum
Hygrohypnum duriusculum,Hygrohypnum duriusculum,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum duriusculum
Hygrohypnum luridum,Hygrohypnum luridum,Encyclopedia of Life,0.988,Hygrohypnum luridum
Hygrohypnum luridum,Hygrohypnum luridum,Catalogue of Life Checklist,0.988,Hygrohypnum luridum
Hygrohypnum luridum,Hygrohypnum luridum,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum luridum
Hygrohypnum molle,Hygrohypnum molle,Encyclopedia of Life,0.988,Hygrohypnum molle
Hygrohypnum molle,Hygrohypnum molle,Catalogue of Life Checklist,0.988,Hygrohypnum molle
Hygrohypnum molle,Hygrohypnum molle,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum molle
Hygrohypnum ochraceum,Hygrohypnum ochraceum,Encyclopedia of Life,0.988,Hygrohypnum ochraceum
Hygrohypnum ochraceum,Hygrohypnum ochraceum,Catalogue of Life Checklist,0.988,Hygrohypnum ochraceum
Hygrohypnum ochraceum,Hygrohypnum ochraceum,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum ochraceum
Hygrohypnum smithii,Hygrohypnum smithii,Encyclopedia of Life,0.988,Hygrohypnum smithii
Hygrohypnum smithii,Hygrohypnum smithii,Catalogue of Life Checklist,0.988,Hygrohypnum smithii
Hygrohypnum smithii,Hygrohypnum smithii,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum smithii
Hygrohypnum styriacum,Hygrohypnum styriacum,Encyclopedia of Life,0.988,Hygrohypnum styriacum
Hygrohypnum styriacum,Hygrohypnum styriacum,Catalogue of Life Checklist,0.988,Hygrohypnum styriacum
Hygrohypnum styriacum,Hygrohypnum styriacum,Tropicos - Missouri Botanical Garden,0.988,Hygrohypnum styriacum
Leptodictyum,Leptodictyum,Catalogue of Life Checklist,0.75,Leptodictyum
Leptodictyum,Leptodictyum,Encyclopedia of Life,0.75,Leptodictyum
Leptodictyum,Leptodictyum,Tropicos - Missouri Botanical Garden,0.75,Leptodictyum
Leptodictyum humile,Leptodictyum humile,Encyclopedia of Life,0.988,Leptodictyum humile
Leptodictyum humile,Leptodictyum humile,Catalogue of Life Checklist,0.988,Leptodictyum humile
Leptodictyum humile,Leptodictyum humile,Tropicos - Missouri Botanical Garden,0.988,Leptodictyum humile
Leptodictyum riparium,Leptodictyum riparium,Encyclopedia of Life,0.988,Leptodictyum riparium
Leptodictyum riparium,Leptodictyum riparium,Catalogue of Life Checklist,0.988,Leptodictyum riparium
Leptodictyum riparium,Leptodictyum riparium,Tropicos - Missouri Botanical Garden,0.988,Leptodictyum riparium
Limprichtia,Limprichtia,Encyclopedia of Life,0.75,Limprichtia
Limprichtia,Limprichtia,Tropicos - Missouri Botanical Garden,0.75,Limprichtia
Limprichtia revolvens,Limprichtia revolvens,Encyclopedia of Life,0.988,Limprichtia revolvens
Limprichtia revolvens,Limprichtia revolvens,Tropicos - Missouri Botanical Garden,0.988,Limprichtia revolvens
Palustriella,Palustriella,Catalogue of Life Checklist,0.75,Palustriella
Palustriella,Palustriella,Encyclopedia of Life,0.75,Palustriella
Palustriella,Palustriella,Tropicos - Missouri Botanical Garden,0.75,Palustriella
Palustriella commutata,Palustriella commutata,Encyclopedia of Life,0.988,Palustriella commutata
Palustriella commutata,Palustriella commutata,Catalogue of Life Checklist,0.988,Palustriella commutata
Palustriella commutata,Palustriella commutata,Tropicos - Missouri Botanical Garden,0.988,Palustriella commutata
Pseudo-calliergon,Pseudo-calliergon,Catalogue of Life Checklist,0.5,Pseudocalliergon
Pseudo-calliergon,Pseudo-calliergon,Encyclopedia of Life,0.5,Pseudocalliergon
Pseudo-calliergon,Pseudo-calliergon,Tropicos - Missouri Botanical Garden,0.5,Pseudocalliergon
Pseudo-calliergon angustifolium,Pseudo-calliergon angustifolium,Catalogue of Life Checklist,0.75,Pseudocalliergon angustifolium
Pseudo-calliergon angustifolium,Pseudo-calliergon angustifolium,Encyclopedia of Life,0.75,Pseudocalliergon angustifolium
Pseudo-calliergon angustifolium,Pseudo-calliergon angustifolium,Tropicos - Missouri Botanical Garden,0.75,Pseudocalliergon angustifolium
