FinalID,BOLD_Records,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_CA,BOLD_Records_COI_SW,BOLD_Records_COI_USA,BOLD_Records_ITS,BOLD_Records_ITS_CA,BOLD_Records_ITS_SW,BOLD_Records_ITS_USA,BOLD_Records_matK,BOLD_Records_matK_CA,BOLD_Records_matK_SW,BOLD_Records_matK_USA,BOLD_Records_rbcL,BOLD_Records_rbcL_CA,BOLD_Records_rbcL_SW,BOLD_Records_rbcL_USA,BOLD_Records_SW,BOLD_Records_trnL,BOLD_Records_trnL_CA,BOLD_Records_trnL_SW,BOLD_Records_trnL_USA,BOLD_Records_USA,CommonName,ParentOrganismFinalID,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicLevelCode
Acaulon,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon,NA,NA,50
Acaulon rufescens,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon rufescens,NA,NA,60
Acaulon triquetrum,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Acaulon,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Acaulon,NA,Acaulon triquetrum,NA,NA,60
Aloina,7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,Pottiaceae,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina,NA,NA,50
Aloina ambigua,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina ambigua,NA,NA,60
Aloina bifrons,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina bifrons,NA,NA,60
Aloina rigida,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,Aloina,Bryophyta,NA,NA,Bryopsida,Dicranidae,NA,Pottiales,NA,NA,Pottiaceae,NA,NA,NA,Aloina,NA,Aloina rigida,NA,NA,60
Amblystegiaceae,2188,0,0,0,0,0,1926,0,11,53,2,0,0,0,145,0,0,1,11,115,0,0,0,54,NA,Hypnales,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegiaceae,NA,NA,40
Amblystegium,51,0,0,0,0,0,41,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,NA,Amblystegiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,NA,NA,Amblystegium,NA,NA,50
Amblystegium juratzkanum,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium juratzkanum,NA,NA,60
Amblystegium radicale,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium radicale,NA,NA,60
Amblystegium serpens,22,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium serpens,NA,NA,60
Amblystegium varium,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Amblystegium,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Hypnales,NA,NA,Amblystegiaceae,NA,NA,NA,Amblystegium,NA,Amblystegium varium,NA,NA,60
Anacolia,24,0,0,0,0,0,22,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,5,NA,Bartramiaceae,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia,NA,NA,50
Anacolia baueri,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Anacolia,Bryophyta,NA,NA,Bryopsida,Bryidae,NA,Bartramiales,NA,NA,Bartramiaceae,NA,NA,NA,Anacolia,NA,Anacolia baueri,NA,NA,60
