Family,Genus,Spp,Voucher,Species
Amblystegiaceae,Amblystegium,juratzkanum,No,Amblystegium juratzkanum
Amblystegiaceae,Amblystegium,radicale,No,Amblystegium radicale
Amblystegiaceae,Amblystegium,serpens,Yes,Amblystegium serpens
Amblystegiaceae,Amblystegium,varium,No,Amblystegium varium
Amblystegiaceae,Campylium,chrysophyllum,No,Campylium chrysophyllum
Amblystegiaceae,Campylium,hispidulum,No,Campylium hispidulum
Amblystegiaceae,Campylium,stellatum,No,Campylium stellatum
Amblystegiaceae,Conardia,compacta,No,Conardia compacta
Amblystegiaceae,Cratoneuron,filicinum,No,Cratoneuron filicinum
Amblystegiaceae,Drepanocladus,aduncus,No,Drepanocladus aduncus
Amblystegiaceae,Drepanocladus,capillifolius,No,Drepanocladus capillifolius
Amblystegiaceae,Drepanocladus,polycarpos,No,Drepanocladus polycarpos
Amblystegiaceae,Drepanocladus,polygamus,No,Drepanocladus polygamus
Amblystegiaceae,Drepanocladus,sordidus,No,Drepanocladus sordidus
Amblystegiaceae,Hygroamblystegium,tenax,No,Hygroamblystegium tenax
Amblystegiaceae,Hygrophynum,alpinum,No,Hygrophynum alpinum
Amblystegiaceae,Hygrophynum,bestii,No,Hygrophynum bestii
Amblystegiaceae,Hygrophynum,cochlearifolium,No,Hygrophynum cochlearifolium
Amblystegiaceae,Hygrophynum,duriusculum,No,Hygrophynum duriusculum
Amblystegiaceae,Hygrophynum,luridum,No,Hygrophynum luridum
Amblystegiaceae,Hygrophynum,molle,No,Hygrophynum molle
Amblystegiaceae,Hygrophynum,ochraceum,No,Hygrophynum ochraceum
Amblystegiaceae,Hygrophynum,smithii,No,Hygrophynum smithii
Amblystegiaceae,Hygrophynum,styriacum,No,Hygrophynum styriacum
Amblystegiaceae,Leptodictyum,humile,No,Leptodictyum humile
Amblystegiaceae,Leptodictyum,riparium,Yes,Leptodictyum riparium
Amblystegiaceae,Limprichtia,revolens,No,Limprichtia revolens
Amblystegiaceae,Palustriella,commutata,No,Palustriella commutata
Amblystegiaceae,Pseudo-calliergon,angustifolium,No,Pseudo-calliergon angustifolium
Amblystegiaceae,Sanionia,uncinata,No,Sanionia uncinata
Brachytheciaceae,Brachythecium,albicans,No,Brachythecium albicans
Brachytheciaceae,Brachythecium,asperrimum,No,Brachythecium asperrimum
Brachytheciaceae,Brachythecium,bolanderi,No,Brachythecium bolanderi
Brachytheciaceae,Brachythecium,calcareum,No,Brachythecium calcareum
