"","user_supplied_name","submitted_name","data_source_title","score","matched_name2"
"1","Amblystegium juratzkanum","Amblystegium juratzkanum","Encyclopedia of Life",0.988,"Amblystegium juratzkanum"
"2","Amblystegium juratzkanum","Amblystegium juratzkanum","Catalogue of Life Checklist",0.988,"Amblystegium juratzkanum"
"3","Amblystegium juratzkanum","Amblystegium juratzkanum","Tropicos - Missouri Botanical Garden",0.988,"Amblystegium juratzkanum"
"4","Amblystegium radicale","Amblystegium radicale","Tropicos - Missouri Botanical Garden",0.988,"Amblystegium radicale"
"5","Amblystegium serpens","Amblystegium serpens","Encyclopedia of Life",0.988,"Amblystegium serpens"
"6","Amblystegium serpens","Amblystegium serpens","Catalogue of Life Checklist",0.988,"Amblystegium serpens"
"7","Amblystegium serpens","Amblystegium serpens","Tropicos - Missouri Botanical Garden",0.988,"Amblystegium serpens"
"8","Amblystegium varium","Amblystegium varium","Encyclopedia of Life",0.988,"Amblystegium varium"
"9","Amblystegium varium","Amblystegium varium","Tropicos - Missouri Botanical Garden",0.988,"Amblystegium varium"
"10","Campylium chrysophyllum","Campylium chrysophyllum","Encyclopedia of Life",0.988,"Campylium chrysophyllum"
"11","Campylium chrysophyllum","Campylium chrysophyllum","Catalogue of Life Checklist",0.988,"Campylium chrysophyllum"
"12","Campylium chrysophyllum","Campylium chrysophyllum","Tropicos - Missouri Botanical Garden",0.988,"Campylium chrysophyllum"
"13","Campylium hispidulum","Campylium hispidulum","Encyclopedia of Life",0.988,"Campylium hispidulum"
"14","Campylium hispidulum","Campylium hispidulum","Catalogue of Life Checklist",0.988,"Campylium hispidulum"
"15","Campylium hispidulum","Campylium hispidulum","Tropicos - Missouri Botanical Garden",0.988,"Campylium hispidulum"
"16","Campylium stellatum","Campylium stellatum","Encyclopedia of Life",0.988,"Campylium stellatum"
"17","Campylium stellatum","Campylium stellatum","Tropicos - Missouri Botanical Garden",0.988,"Campylium stellatum"
"18","Conardia compacta","Conardia compacta","Encyclopedia of Life",0.988,"Conardia compacta"
"19","Conardia compacta","Conardia compacta","Catalogue of Life Checklist",0.988,"Conardia compacta"
"20","Conardia compacta","Conardia compacta","Tropicos - Missouri Botanical Garden",0.988,"Conardia compacta"
"21","Cratoneuron filicinum","Cratoneuron filicinum","Encyclopedia of Life",0.988,"Cratoneuron filicinum"
"22","Cratoneuron filicinum","Cratoneuron filicinum","Catalogue of Life Checklist",0.988,"Cratoneuron filicinum"
"23","Cratoneuron filicinum","Cratoneuron filicinum","Tropicos - Missouri Botanical Garden",0.988,"Cratoneuron filicinum"
"24","Drepanocladus aduncus","Drepanocladus aduncus","Encyclopedia of Life",0.988,"Drepanocladus aduncus"
"25","Drepanocladus aduncus","Drepanocladus aduncus","Catalogue of Life Checklist",0.988,"Drepanocladus aduncus"
"26","Drepanocladus aduncus","Drepanocladus aduncus","Tropicos - Missouri Botanical Garden",0.988,"Drepanocladus aduncus"
"27","Drepanocladus capillifolius","Drepanocladus capillifolius","Encyclopedia of Life",0.988,"Drepanocladus capillifolius"
"28","Drepanocladus capillifolius","Drepanocladus capillifolius","Tropicos - Missouri Botanical Garden",0.988,"Drepanocladus capillifolius"
"29","Drepanocladus polycarpos","Drepanocladus polycarpos","Tropicos - Missouri Botanical Garden",0.988,"Drepanocladus polycarpos"
"30","Drepanocladus polygamus","Drepanocladus polygamus","Encyclopedia of Life",0.988,"Drepanocladus polygamus"
"31","Drepanocladus polygamus","Drepanocladus polygamus","Tropicos - Missouri Botanical Garden",0.988,"Drepanocladus polygamus"
"32","Drepanocladus sordidus","Drepanocladus sordidus","Encyclopedia of Life",0.988,"Drepanocladus sordidus"
"33","Drepanocladus sordidus","Drepanocladus sordidus","Catalogue of Life Checklist",0.988,"Drepanocladus sordidus"
"34","Drepanocladus sordidus","Drepanocladus sordidus","Tropicos - Missouri Botanical Garden",0.988,"Drepanocladus sordidus"
"35","Hygroamblystegium tenax","Hygroamblystegium tenax","Encyclopedia of Life",0.988,"Hygroamblystegium tenax"
"36","Hygroamblystegium tenax","Hygroamblystegium tenax","Catalogue of Life Checklist",0.988,"Hygroamblystegium tenax"
"37","Hygroamblystegium tenax","Hygroamblystegium tenax","Tropicos - Missouri Botanical Garden",0.988,"Hygroamblystegium tenax"
"38","Hygrophynum alpinum","Hygrophynum alpinum","Catalogue of Life Checklist",0.75,"Hygrohypnum alpinum"
"39","Hygrophynum alpinum","Hygrophynum alpinum","Encyclopedia of Life",0.75,"Hygrohypnum alpinum"
